"Данные","Тип","Из","В","Метки","Сумма","Валюта","Сумма в др.валюте","Др.валюта","Повторение","Заметка"
"14.10.2020","Перевод","Другое","Тинькофф","Cashback/проценты НС","1216","RUB","1216","RUB","Нет",""
"14.10.2020","Расход","Тинькофф","Развлечения","","1350","RUB","1350","RUB","Нет","3 билета на Сияние (15% должны вернуться позже)"
"14.10.2020","Перевод","Другое","Тинькофф","","382,5","RUB","382,5","RUB","Нет","От Славы за билет на сияние за вычетом 15%"
"14.10.2020","Расход","Тинькофф","Медицина","","2140","RUB","2140","RUB","Нет","Бронхомунал и тд"
"14.10.2020","Расход","Тинькофф","Продукты","","3000","RUB","3000","RUB","Нет","Асе за фермерские продукты"
"14.10.2020","Расход","Сбербанк Deposit","Квартплата/Интернет","ЖКУ","7308,93","RUB","7308,93","RUB","Нет","Так дофига, потому что 2000 за электричество "
"15.10.2020","Расход","Тинькофф","Квартплата/Интернет","","640","RUB","640","RUB","Нет","Ростелеком "
"16.10.2020","Расход","Тинькофф","Транспорт","Такси","80","RUB","80","RUB","Нет",""
"16.10.2020","Расход","Cash","Продукты","","1200","RUB","1200","RUB","Нет","Клюква"
"16.10.2020","Расход","Тинькофф","Еда","","458","RUB","458","RUB","Нет","Сабвей "
"16.10.2020","Расход","Сбербанк Deposit","Музыка","Головин","9000","RUB","9000","RUB","Нет",""
"17.10.2020","Расход","Тинькофф","Другое","","2460","RUB","2460","RUB","Нет","Подарок Эдику (игры в Стиме)"
"17.10.2020","Расход","Тинькофф","Развлечения","","461","RUB","461","RUB","Нет","Титанфол"
"17.10.2020","Расход","Тинькофф","Транспорт","","236","RUB","236","RUB","Нет",""
"19.10.2020","Перевод","Брокерский счет (тинькофф)","Тинькофф","","133621,65","RUB","133621,65","RUB","Нет",""
"19.10.2020","Расход","Брокерский счет (тинькофф)","Комиссии (black hole)","","15210,58","RUB","15210,58","RUB","Нет","Потери на акциях Яндекса "
"20.10.2020","Перевод","ФТИ","Сбербанк Deposit","","8820","RUB","8820","RUB","Нет",""
"20.10.2020","Расход","Тинькофф","Транспорт","Такси","228","RUB","228","RUB","Нет",""
"20.10.2020","Расход","Тинькофф","Продукты","","7809,37","RUB","7809,37","RUB","Нет","Форель в окее, две рыбы"
"20.10.2020","Расход","Тинькофф","Транспорт","Такси","190","RUB","190","RUB","Нет",""
"20.10.2020","Перевод","Другое","Тинькофф","","876","RUB","876","RUB","Нет","Выплата бонуса по претензии за оплату стула по Apple Pay"
"22.10.2020","Расход","Тинькофф","Продукты","","892,13","RUB","892,13","RUB","Нет",""
"23.10.2020","Перевод","Другое","Тинькофф","","1350","RUB","1350","RUB","Нет","Возврат билетов на Сияние"
"24.10.2020","Расход","Тинькофф","Транспорт","","216","RUB","216","RUB","Нет","ЖД билеты до Белоостров"
"24.10.2020","Перевод","Другое","Тинькофф","","1000","RUB","1000","RUB","Нет","Бонус по акции (возможно, за стул)"
"24.10.2020","Расход","Тинькофф","Продукты","","825,47","RUB","825,47","RUB","Нет",""
"25.10.2020","Расход","Тинькофф","Транспорт","Такси","199","RUB","199","RUB","Нет",""
"25.10.2020","Расход","Тинькофф","Продукты","","133","RUB","133","RUB","Нет","Булка хлеба "
"25.10.2020","Расход","Тинькофф","Транспорт","Такси","184","RUB","184","RUB","Нет",""
"25.10.2020","Перевод","ALM","Сбербанк Deposit","","67350","RUB","67350","RUB","Нет",""
"25.10.2020","Перевод","Другое","Тинькофф","","1200","RUB","1200","RUB","Нет","От Шпирко за подарок Эдику "
"25.10.2020","Расход","Тинькофф","Другое","","382,5","RUB","382,5","RUB","Нет","Возврат Славе за билет на Сияние"
"26.10.2020","Расход","Тинькофф","Charity","","500","RUB","500","RUB","Нет",""
"26.10.2020","Расход","Тинькофф","Медицина","","348,99","RUB","348,99","RUB","Нет","Конфеты Румянцевой"
"26.10.2020","Расход","Тинькофф","Транспорт","","50","RUB","50","RUB","Нет",""
"26.10.2020","Расход","Тинькофф","Транспорт","","55","RUB","55","RUB","Нет",""
"26.10.2020","Расход","Тинькофф","Продукты","","409,6","RUB","409,6","RUB","Нет",""
"26.10.2020","Расход","Тинькофф","Транспорт","","55","RUB","55","RUB","Нет",""
"26.10.2020","Расход","Тинькофф","Еда","","309","RUB","309","RUB","Нет","Сабвей "
"26.10.2020","Расход","Cash","Транспорт","","50","RUB","50","RUB","Нет",""
"27.10.2020","Расход","Тинькофф","Транспорт","Такси","173","RUB","173","RUB","Нет",""
"27.10.2020","Расход","Тинькофф","Медицина","","257","RUB","257","RUB","Нет","Салимое, аскорбинка"
"27.10.2020","Расход","Тинькофф","Транспорт","Такси","239","RUB","239","RUB","Нет",""
"29.10.2020","Расход","Тинькофф","Charity","","509,81","RUB","509,81","RUB","Нет",""
"29.10.2020","Расход","Тинькофф","Медицина","","1690","RUB","1690","RUB","Нет","Ликопид "
"31.10.2020","Расход","Тинькофф","Транспорт","ЖД","186","RUB","186","RUB","Нет",""
"31.10.2020","Расход","Тинькофф","Транспорт","Такси","304","RUB","304","RUB","Нет",""
"31.10.2020","Расход","Тинькофф","Еда","","120","RUB","120","RUB","Нет","Вода и маффин "
"31.10.2020","Расход","Тинькофф","Другое","","126,5","RUB","126,5","RUB","Нет","Перчатки Асе в фикс прайсе"
"31.10.2020","Расход","Тинькофф","Вещи","","1200","RUB","1200","RUB","Нет","Кофта на рынке в Пушкине"
"31.10.2020","Расход","Тинькофф","Продукты","","1260","RUB","1260","RUB","Нет","Продукты на рынке в Пушкине "
"31.10.2020","Расход","Тинькофф","Еда","","50","RUB","50","RUB","Нет","Чай на вокзале "
"31.10.2020","Расход","Тинькофф","Транспорт","Такси","86","RUB","86","RUB","Нет",""
"31.10.2020","Расход","Cash","Развлечения","","300","RUB","300","RUB","Нет","Лисы в этажах"
"31.10.2020","Расход","Тинькофф","Вещи","","1620","RUB","1620","RUB","Нет","Футболка HH в этажах"
"31.10.2020","Расход","Тинькофф","Еда","","960","RUB","960","RUB","Нет","Кафе в этажах"
"31.10.2020","Расход","Тинькофф","Транспорт","Такси","237","RUB","237","RUB","Нет",""
"01.11.2020","Расход","Тинькофф","Продукты","","3194,78","RUB","3194,78","RUB","Нет",""
"01.11.2020","Расход","Тинькофф","Транспорт","","83","RUB","83","RUB","Нет",""
"01.11.2020","Расход","Тинькофф","Продукты","","2000","RUB","2000","RUB","Нет","Асе за продукты"
"02.11.2020","Расход","Тинькофф","Другое","","1999","RUB","1999","RUB","Нет","Киберпанк для Славы"
"03.11.2020","Расход","Тинькофф","Транспорт","Такси","154","RUB","154","RUB","Нет",""
"03.11.2020","Расход","Тинькофф","Транспорт","Такси","139","RUB","139","RUB","Нет",""
"04.11.2020","Расход","Тинькофф","Дом","","2710,7","RUB","2710,7","RUB","Нет","Леруа, полка в ванную, etc "
"04.11.2020","Расход","Тинькофф","Транспорт","Такси","82","RUB","82","RUB","Нет",""
"04.11.2020","Расход","Тинькофф","Медицина","","2250","RUB","2250","RUB","Нет","Opti-men 150"
"04.11.2020","Расход","Тинькофф","Транспорт","Такси","81","RUB","81","RUB","Нет",""
"04.11.2020","Расход","Тинькофф","Дом","","360","RUB","360","RUB","Нет","Провод для колонок в радиодеталях "
"04.11.2020","Расход","Тинькофф","Еда","","660","RUB","660","RUB","Нет","Мамо в ситимолле "
"05.11.2020","Перевод","Вклад","Сбербанк Deposit","Капитализация (сбербанк)","1964,96","RUB","1964,96","RUB","Нет",""
"05.11.2020","Перевод","ФТИ","Тинькофф Депозит 6 мес (main)","","28181","RUB","28181","RUB","Нет",""
"07.11.2020","Расход","Тинькофф","Транспорт","Такси","235","RUB","235","RUB","Нет",""
"07.11.2020","Расход","Тинькофф","Развлечения","","200","RUB","200","RUB","Нет","Билеты на вход в ЦПКиО"
"07.11.2020","Расход","Тинькофф","Транспорт","Такси","177","RUB","177","RUB","Нет",""
"07.11.2020","Расход","Тинькофф","Продукты","","154","RUB","154","RUB","Нет",""
"07.11.2020","Расход","Тинькофф","Продукты","","100","RUB","100","RUB","Нет",""
"07.11.2020","Расход","Тинькофф","Продукты","","378,27","RUB","378,27","RUB","Нет",""
"09.11.2020","Расход","Тинькофф","Charity","","200","RUB","200","RUB","Нет",""
"09.11.2020","Расход","Тинькофф","Транспорт","Такси","133","RUB","133","RUB","Нет",""
"09.11.2020","Расход","Тинькофф","Продукты","","1500","RUB","1500","RUB","Нет","Асе за продукты"
"09.11.2020","Расход","Тинькофф","Транспорт","Такси","144","RUB","144","RUB","Нет",""
"10.11.2020","Перевод","Вклад","Сбербанк Deposit","Капитализация (сбербанк)","54,63","RUB","54,63","RUB","Нет",""
"10.11.2020","Перевод","ALM","Сбербанк Deposit","","166332","RUB","166332","RUB","Нет","ЗП+премия"
"10.11.2020","Расход","Тинькофф","Квартплата/Интернет","Мтс","550","RUB","550","RUB","Нет",""
"10.11.2020","Расход","Тинькофф","Charity","","700","RUB","700","RUB","Нет",""
"10.11.2020","Расход","Тинькофф","Квартплата/Интернет","","2239","RUB","2239","RUB","Нет","Налоги"
"11.11.2020","Перевод","Вклад","Тинькофф Депозит 6 мес (main)","Капитализация (тинькофф)","596,59","RUB","596,59","RUB","Нет",""
"11.11.2020","Перевод","Вклад","Тинькофф Депозит 8 мес","Капитализация (тинькофф)","192,74","RUB","192,74","RUB","Нет",""
"11.11.2020","Перевод","Вклад","Тинькофф Депозит 10 мес","Капитализация (тинькофф)","192,74","RUB","192,74","RUB","Нет",""
"11.11.2020","Перевод","Вклад","Тинькофф Депозит 12 мес","Капитализация (тинькофф)","192,74","RUB","192,74","RUB","Нет",""
"11.11.2020","Перевод","Вклад","Тинькофф Депозит 15 мес","Капитализация (тинькофф)","192,74","RUB","192,74","RUB","Нет",""
"11.11.2020","Перевод","Вклад","Тинькофф Депозит 18 мес","Капитализация (тинькофф)","192,74","RUB","192,74","RUB","Нет",""
"12.11.2020","Расход","Тинькофф","Музыка","","3588","RUB","3588","RUB","Нет","Струнки "
"13.11.2020","Расход","Тинькофф","Транспорт","Такси","84","RUB","84","RUB","Нет",""
"13.11.2020","Расход","Тинькофф","Транспорт","Такси","87","RUB","87","RUB","Нет",""
"13.11.2020","Расход","Сбербанк Deposit","Музыка","Головин","9000","RUB","9000","RUB","Нет",""
"13.11.2020","Расход","Сбербанк Deposit","Продукты","","1500","RUB","1500","RUB","Нет","Асе за продукты"
"14.11.2020","Перевод","Другое","Тинькофф","Cashback/проценты НС","342,69","RUB","342,69","RUB","Нет",""
"14.11.2020","Перевод","Другое","Тинькофф","Cashback/проценты НС","794","RUB","794","RUB","Нет",""
"14.11.2020","Расход","Тинькофф","Еда","","1530","RUB","1530","RUB","Нет","Пепперони"
"14.11.2020","Расход","Тинькофф","Продукты","","1646,76","RUB","1646,76","RUB","Нет",""
"14.11.2020","Расход","Тинькофф","Транспорт","Такси","182","RUB","182","RUB","Нет",""
"14.11.2020","Расход","Тинькофф","Развлечения","","700","RUB","700","RUB","Нет","Кино"
"15.11.2020","Расход","Тинькофф","Квартплата/Интернет","","640","RUB","640","RUB","Нет",""
"15.11.2020","Расход","Тинькофф","Транспорт","Такси","254","RUB","254","RUB","Нет",""
"15.11.2020","Расход","Тинькофф","Продукты","","2166,57","RUB","2166,57","RUB","Нет",""
"15.11.2020","Расход","Тинькофф","Транспорт","Такси","145","RUB","145","RUB","Нет",""
"15.11.2020","Расход","Тинькофф","Транспорт","Такси","153","RUB","153","RUB","Нет",""
"15.11.2020","Расход","Тинькофф","Транспорт","Такси","312","RUB","312","RUB","Нет",""
"18.11.2020","Расход","Тинькофф","Charity","","300","RUB","300","RUB","Нет",""
"19.11.2020","Расход","Тинькофф","Транспорт","Такси","62","RUB","62","RUB","Нет",""
"19.11.2020","Расход","Тинькофф","Транспорт","","55","RUB","55","RUB","Нет",""
"19.11.2020","Расход","Тинькофф","Медицина","","9357,5","RUB","9357,5","RUB","Нет","Оплата микроскопа для лечения пульпита в Райдене "
"19.11.2020","Расход","Тинькофф","Транспорт","","55","RUB","55","RUB","Нет",""
"19.11.2020","Расход","Тинькофф","Продукты","","525","RUB","525","RUB","Нет","Хурма на пл Мужества "
"19.11.2020","Перевод","ФТИ","Сбербанк Deposit","","8820","RUB","8820","RUB","Нет",""
"21.11.2020","Расход","Тинькофф","Продукты","","1969,51","RUB","1969,51","RUB","Нет",""
"22.11.2020","Расход","Тинькофф","Еда","","168,7","RUB","168,7","RUB","Нет","Пицца в перекрестке "
"22.11.2020","Расход","Тинькофф","Продукты","","2108,17","RUB","2108,17","RUB","Нет",""
"22.11.2020","Расход","Тинькофф","Транспорт","Такси","289","RUB","289","RUB","Нет",""
"22.11.2020","Расход","Тинькофф","Транспорт","Такси","167","RUB","167","RUB","Нет",""
"23.11.2020","Расход","Тинькофф","Транспорт","Такси","123","RUB","123","RUB","Нет",""
"23.11.2020","Расход","Тинькофф","Транспорт","Такси","96","RUB","96","RUB","Нет",""
"23.11.2020","Расход","Тинькофф","Еда","","605,73","RUB","605,73","RUB","Нет",""
"23.11.2020","Перевод","Другое","Тинькофф","Cashback/проценты НС","35","RUB","35","RUB","Нет","Бонус за кино"
"24.11.2020","Перевод","ALM","Сбербанк Deposit","","67500","RUB","67500","RUB","Нет",""
"25.11.2020","Расход","Тинькофф","Еда","","3275","RUB","3275","RUB","Нет","Орехи"
"26.11.2020","Расход","Тинькофф","Развлечения","","106","RUB","106","RUB","Нет","Among us"
"27.11.2020","Расход","Сбербанк Deposit","Другое","","2500","RUB","2500","RUB","Нет","Яндекс диск 1тб"
"28.11.2020","Расход","Тинькофф","Музыка","","1482","RUB","1482","RUB","Нет","JST Toneforge bootcamp "
"28.11.2020","Расход","Тинькофф","Транспорт","","155","RUB","155","RUB","Нет",""
"28.11.2020","Расход","Тинькофф","Транспорт","","55","RUB","55","RUB","Нет",""
"28.11.2020","Расход","Тинькофф","Транспорт","","55","RUB","55","RUB","Нет",""
"28.11.2020","Расход","Тинькофф","Еда","","427","RUB","427","RUB","Нет","Kfc "
"29.11.2020","Расход","Тинькофф","Транспорт","","236","RUB","236","RUB","Нет",""
"29.11.2020","Расход","Тинькофф","Музыка","","10169,7","RUB","10169,7","RUB","Нет","Neural DSP"
"29.11.2020","Расход","Тинькофф","Транспорт","Такси","119","RUB","119","RUB","Нет",""
"29.11.2020","Расход","Тинькофф","Дом","","344","RUB","344","RUB","Нет","Лампочки в Леруа "
"29.11.2020","Расход","Тинькофф","Продукты","","3140,13","RUB","3140,13","RUB","Нет",""
"29.11.2020","Расход","Тинькофф","Транспорт","Такси","80","RUB","80","RUB","Нет",""
"30.11.2020","Расход","Тинькофф","Charity","","2000","RUB","2000","RUB","Нет",""
"30.11.2020","Расход","Тинькофф","Другое","","15000","RUB","15000","RUB","Нет","ФХ на год Асе на НГ"
"30.11.2020","Расход","Сбербанк Deposit","Квартплата/Интернет","ЖКУ","6300,54","RUB","6300,54","RUB","Нет",""
"30.11.2020","Перевод","Вклад","Сбербанк Deposit","Капитализация (сбербанк)","45256,83","RUB","45256,83","RUB","Нет","Проценты со вклада Помню. Горжусь за 6 мес"
"04.12.2020","Расход","Тинькофф","Транспорт","Такси","215","RUB","215","RUB","Нет",""
"04.12.2020","Расход","Тинькофф","Другое","","1000","RUB","1000","RUB","Нет","Коробка для чайных пакетиков Кате"
"04.12.2020","Расход","Тинькофф","Транспорт","","55","RUB","55","RUB","Нет",""
"04.12.2020","Расход","Тинькофф","Другое","","1350","RUB","1350","RUB","Нет","Адаптер для инд плиты для Эдика"
"04.12.2020","Расход","Тинькофф","Транспорт","","55","RUB","55","RUB","Нет",""
"04.12.2020","Расход","Тинькофф","Еда","","419","RUB","419","RUB","Нет","Сабвей"
"04.12.2020","Расход","Тинькофф","Транспорт","Такси","62","RUB","62","RUB","Нет",""
"04.12.2020","Перевод","ФТИ","Сбербанк Deposit","","34316","RUB","34316","RUB","Нет",""
"05.12.2020","Расход","Тинькофф","Продукты","","625,49","RUB","625,49","RUB","Нет","Торт"
"05.12.2020","Расход","Cash","Транспорт","","45","RUB","45","RUB","Нет",""
"05.12.2020","Расход","Тинькофф","Транспорт","Такси","185","RUB","185","RUB","Нет",""
"05.12.2020","Перевод","Вклад","Сбербанк Deposit","Капитализация (сбербанк)","2459,68","RUB","2459,68","RUB","Нет",""
"07.12.2020","Расход","Тинькофф","Транспорт","Такси","119","RUB","119","RUB","Нет",""
"07.12.2020","Расход","Тинькофф","Транспорт","Такси","182","RUB","182","RUB","Нет",""
"07.12.2020","Расход","Тинькофф","Продукты","","2500","RUB","2500","RUB","Нет","Асе за продукты"
"10.12.2020","Перевод","ALM","Сбербанк Deposit","","102518","RUB","102518","RUB","Нет",""
"10.12.2020","Расход","Тинькофф","Квартплата/Интернет","","550","RUB","550","RUB","Нет","Мтс"
"10.12.2020","Расход","Тинькофф","Еда","","1749","RUB","1749","RUB","Нет","Мона пицца"
"10.12.2020","Перевод","Вклад","Тинькофф Депозит 6 мес (main)","Капитализация (тинькофф)","663,38","RUB","663,38","RUB","Нет",""
"10.12.2020","Перевод","Вклад","Тинькофф Депозит 8 мес","Капитализация (тинькофф)","187,23","RUB","187,23","RUB","Нет",""
"10.12.2020","Перевод","Вклад","Тинькофф Депозит 10 мес","Капитализация (тинькофф)","187,23","RUB","187,23","RUB","Нет",""
"10.12.2020","Перевод","Вклад","Тинькофф Депозит 12 мес","Капитализация (тинькофф)","187,23","RUB","187,23","RUB","Нет",""
"10.12.2020","Перевод","Вклад","Тинькофф Депозит 15 мес","Капитализация (тинькофф)","187,23","RUB","187,23","RUB","Нет",""
"10.12.2020","Перевод","Вклад","Тинькофф Депозит 18 мес","Капитализация (тинькофф)","187,23","RUB","187,23","RUB","Нет",""
"11.12.2020","Расход","Тинькофф","Продукты","","1244,11","RUB","1244,11","RUB","Нет",""
"11.12.2020","Перевод","Брокерский счет (тинькофф)","Тинькофф","","1024,57","RUB","1024,57","RUB","Нет","Вывод рублей с брокерского счета "
"11.12.2020","Перевод","Другое","Инвесткопилка ?","","24,57","RUB","24,57","RUB","Нет","Что-то накапало в инвесткопилку"
"11.12.2020","Перевод","Инвесткопилка ?","Тинькофф","","1024,57","RUB","1024,57","RUB","Нет","Вывод с инвесткопилки"
"12.12.2020","Расход","Cash","Транспорт","","90","RUB","90","RUB","Нет",""
"12.12.2020","Расход","Тинькофф","Музыка","","280","RUB","280","RUB","Нет","Медиаторы"
"12.12.2020","Расход","Тинькофф","Транспорт","","55","RUB","55","RUB","Нет",""
"12.12.2020","Расход","Тинькофф","Продукты","","330","RUB","330","RUB","Нет","Крекеры на апрашке "
"12.12.2020","Расход","Тинькофф","Продукты","","420","RUB","420","RUB","Нет","Магазин корейской еды"
"12.12.2020","Расход","Тинькофф","Транспорт","Такси","134","RUB","134","RUB","Нет",""
"12.12.2020","Расход","Тинькофф","Транспорт","","55","RUB","55","RUB","Нет",""
"12.12.2020","Расход","Тинькофф","Еда","","2440","RUB","2440","RUB","Нет","Кореана"
"12.12.2020","Расход","Тинькофф","Транспорт","Такси","115","RUB","115","RUB","Нет",""
"13.12.2020","Расход","Тинькофф","Транспорт","Такси","149","RUB","149","RUB","Нет",""
"13.12.2020","Расход","Тинькофф","Другое","","1599","RUB","1599","RUB","Нет","Ив Роше от папы на нг "
"13.12.2020","Расход","Тинькофф","Транспорт","Такси","166","RUB","166","RUB","Нет",""
"13.12.2020","Перевод","Другое","Тинькофф","Cashback/проценты НС","219,44","RUB","219,44","RUB","Нет",""
"13.12.2020","Перевод","Другое","Тинькофф","Cashback/проценты НС","1092","RUB","1092","RUB","Нет",""
"13.12.2020","Расход","Тинькофф","Продукты","","981,35","RUB","981,35","RUB","Нет",""
"14.12.2020","Перевод","Сбербанк Deposit","Тинькофф","","50000","RUB","50000","RUB","Нет",""
"14.12.2020","Расход","Тинькофф","Путешествия","","10555","RUB","10555","RUB","Нет","Отель Сочи Парк на 7 дней"
"14.12.2020","Расход","Тинькофф","Другое","","8990","RUB","8990","RUB","Нет","Тапочки Асе от мамы "
"14.12.2020","Расход","Тинькофф","Транспорт","Такси","218","RUB","218","RUB","Нет",""
"14.12.2020","Расход","Тинькофф","Транспорт","","55","RUB","55","RUB","Нет",""
"15.12.2020","Расход","Тинькофф","Путешествия","","16760","RUB","16760","RUB","Нет","Авиабилеты в Сочи "
"15.12.2020","Расход","Тинькофф","Квартплата/Интернет","","640","RUB","640","RUB","Нет",""
"15.12.2020","Перевод","Другое","Сбербанк Deposit","","3000","RUB","3000","RUB","Нет","От папы на нг "
"16.12.2020","Расход","Тинькофф","Charity","","300","RUB","300","RUB","Нет",""
"18.12.2020","Перевод","ФТИ","Сбербанк Deposit","","8820","RUB","8820","RUB","Нет",""
"18.12.2020","Расход","Тинькофф","Продукты","","2365,74","RUB","2365,74","RUB","Нет",""
"19.12.2020","Расход","Тинькофф","Транспорт","Такси","184","RUB","184","RUB","Нет",""
"19.12.2020","Расход","Тинькофф","Другое","","4499","RUB","4499","RUB","Нет","Кроссовки папе на нг "
"19.12.2020","Расход","Тинькофф","Продукты","","3918,44","RUB","3918,44","RUB","Нет",""
"19.12.2020","Расход","Тинькофф","Транспорт","Такси","223","RUB","223","RUB","Нет",""
"20.12.2020","Расход","Тинькофф","Продукты","","1068","RUB","1068","RUB","Нет","Плата за EMS (посылка кроссовок)"
"20.12.2020","Расход","Тинькофф","Транспорт","Такси","176","RUB","176","RUB","Нет",""
"20.12.2020","Расход","Тинькофф","Транспорт","","55","RUB","55","RUB","Нет",""
"20.12.2020","Расход","Тинькофф","Транспорт","Такси","262","RUB","262","RUB","Нет",""
"20.12.2020","Перевод","Фонд ремонта","Сбербанк Deposit","","5000","RUB","5000","RUB","Нет","На утятницу"
"20.12.2020","Расход","Сбербанк Deposit","Квартплата/Интернет","ЖКУ","6683,21","RUB","6683,21","RUB","Нет",""
"20.12.2020","Перевод","Сбербанк Deposit","Тинькофф","","5136,79","RUB","5136,79","RUB","Нет","За утятницу"
"21.12.2020","Расход","Тинькофф","Транспорт","Такси","207","RUB","207","RUB","Нет",""
"21.12.2020","Расход","Тинькофф","Транспорт","Такси","204","RUB","204","RUB","Нет",""
"21.12.2020","Расход","Тинькофф","Другое","","308,75","RUB","308,75","RUB","Нет","Сдэку за получение блюда для мамы"
"22.12.2020","Расход","Тинькофф","Медицина","","909","RUB","909","RUB","Нет","Авамис и уродерм "
"22.12.2020","Перевод","Другое","Cash","","5000","RUB","5000","RUB","Нет","От мамы за подарок асе"
"22.12.2020","Расход","Cash","Транспорт","","90","RUB","90","RUB","Нет",""
"22.12.2020","Расход","Cash","Продукты","","212","RUB","212","RUB","Нет","Чиабатты"
"23.12.2020","Расход","Тинькофф","Другое","","5000","RUB","5000","RUB","Нет","Асе за продукты и подарок маме"
"23.12.2020","Расход","Тинькофф","Дом","","3600","RUB","3600","RUB","Нет","Утятница"
"23.12.2020","Расход","Тинькофф","Еда","","276","RUB","276","RUB","Нет",""
"23.12.2020","Расход","Тинькофф","Продукты","","465","RUB","465","RUB","Нет","Мясо на пл муж"
"23.12.2020","Расход","Тинькофф","Charity","","180","RUB","180","RUB","Нет",""
"23.12.2020","Перевод","ALM","Сбербанк Deposit","","7003,16","RUB","7003,16","RUB","Нет","Отпускные за 04.12"
"24.12.2020","Расход","Тинькофф","Продукты","","193","RUB","193","RUB","Нет","Чиабатты"
"24.12.2020","Расход","Тинькофф","Продукты","","134","RUB","134","RUB","Нет","Картошка"
"24.12.2020","Расход","Тинькофф","Продукты","","261,73","RUB","261,73","RUB","Нет","Горчица и травы для запекания"
"24.12.2020","Перевод","Другое","Сбербанк Deposit","","7000","RUB","7000","RUB","Нет","От папы на нг"
"24.12.2020","Перевод","ALM","Сбербанк Deposit","","67500","RUB","67500","RUB","Нет","Аванс"
"26.12.2020","Расход","Тинькофф","Транспорт","Такси","428","RUB","428","RUB","Нет",""
"26.12.2020","Расход","Тинькофф","Еда","","700","RUB","700","RUB","Нет","Литовская еда на ярмарке"
"26.12.2020","Расход","Тинькофф","Еда","","764","RUB","764","RUB","Нет","Штолле на Невском "
"26.12.2020","Расход","Тинькофф","Еда","","70","RUB","70","RUB","Нет","Штолле на Невском "
"26.12.2020","Расход","Тинькофф","Транспорт","Такси","135","RUB","135","RUB","Нет",""
"27.12.2020","Расход","Тинькофф","Транспорт","Такси","431","RUB","431","RUB","Нет",""
"27.12.2020","Расход","Тинькофф","Транспорт","","55","RUB","55","RUB","Нет",""
"27.12.2020","Расход","Тинькофф","Продукты","","164","RUB","164","RUB","Нет","Чиабатты в клондайке"
"27.12.2020","Расход","Тинькофф","Вещи","","550","RUB","550","RUB","Нет","Ателье, за заделку дырки на джинсах"
"28.12.2020","Расход","Тинькофф","Charity","","300","RUB","300","RUB","Нет",""
"28.12.2020","Расход","Cash","Продукты","","1300","RUB","1300","RUB","Нет","Часть за гуся ешь деревенское"
"28.12.2020","Перевод","ФТИ","Тинькофф","","40363","RUB","40363","RUB","Нет","Видимо, ЗП, которая должна придти в начале января"
"30.12.2020","Перевод","ALM","Сбербанк Deposit","","21007,48","RUB","21007,48","RUB","Нет","Отпускные за 11-13 янв"
"30.12.2020","Перевод","ALM","Сбербанк Deposit","","96649,35","RUB","96649,35","RUB","Нет","ЗП за вычетом отпускных за 04.12"
"31.12.2020","Расход","Тинькофф","Транспорт","Такси","310","RUB","310","RUB","Нет",""
"31.12.2020","Расход","Тинькофф","Медицина","","250","RUB","250","RUB","Нет","Доплата за лечение (страховка закончилась)"
"31.12.2020","Расход","Тинькофф","Продукты","","750","RUB","750","RUB","Нет","Зуб паста в Райден"
"31.12.2020","Расход","Тинькофф","Продукты","","985,7","RUB","985,7","RUB","Нет",""
"31.12.2020","Расход","Тинькофф","Транспорт","Такси","304","RUB","304","RUB","Нет",""
"31.12.2020","Расход","Тинькофф","Продукты","","230","RUB","230","RUB","Нет","Чиабатты"
"31.12.2020","Расход","Тинькофф","Транспорт","Такси","169","RUB","169","RUB","Нет",""
"31.12.2020","Расход","Тинькофф","Продукты","","3865,27","RUB","3865,27","RUB","Нет",""
"31.12.2020","Расход","Тинькофф","Транспорт","Такси","272","RUB","272","RUB","Нет",""
"02.01.2021","Расход","Тинькофф","Charity","","300","RUB","300","RUB","Нет",""
"02.01.2021","Расход","Тинькофф","Charity","","50","RUB","50","RUB","Нет",""
"03.01.2021","Расход","Тинькофф","Транспорт","Такси","222","RUB","222","RUB","Нет",""
"03.01.2021","Расход","Тинькофф","Транспорт","Такси","5","RUB","5","RUB","Нет",""
"03.01.2021","Расход","Тинькофф","Продукты","","104,19","RUB","104,19","RUB","Нет",""
"03.01.2021","Расход","Тинькофф","Еда","","290","RUB","290","RUB","Нет",""
"03.01.2021","Расход","Тинькофф","Еда","","120","RUB","120","RUB","Нет",""
"03.01.2021","Расход","Тинькофф","Еда","","130","RUB","130","RUB","Нет",""
"03.01.2021","Расход","Тинькофф","Продукты","","64","RUB","64","RUB","Нет",""
"03.01.2021","Расход","Тинькофф","Продукты","","1150","RUB","1150","RUB","Нет",""
"03.01.2021","Расход","Тинькофф","Продукты","","134","RUB","134","RUB","Нет",""
"03.01.2021","Расход","Тинькофф","Продукты","","164","RUB","164","RUB","Нет",""
"03.01.2021","Расход","Тинькофф","Транспорт","Такси","118","RUB","118","RUB","Нет",""
"04.01.2021","Расход","Тинькофф","Медицина","","1214,5","RUB","1214,5","RUB","Нет","Лавомакс и др в Сочи "
"04.01.2021","Расход","Тинькофф","Транспорт","Такси","200","RUB","200","RUB","Нет",""
"04.01.2021","Расход","Тинькофф","Вещи","","6278","RUB","6278","RUB","Нет","На замену сланцам"
"04.01.2021","Расход","Тинькофф","Вещи","","799","RUB","799","RUB","Нет","Футболка "
"04.01.2021","Расход","Тинькофф","Вещи","","699","RUB","699","RUB","Нет","Футболка"
